in s,C2 in V
7.58937760E-02,6.8475000E-01
7.58940800E-02,6.8324320E-01
7.58943840E-02,6.8462946E-01
7.58946880E-02,6.8595545E-01
7.58949920E-02,6.8294184E-01
7.58952960E-02,6.8294184E-01
7.58956000E-02,6.8348429E-01
7.58959040E-02,6.8251993E-01
7.58962080E-02,6.8221857E-01
7.58965120E-02,6.8300211E-01
7.58968160E-02,6.8221857E-01
7.58971200E-02,6.8239939E-01
7.58974240E-02,6.8149530E-01
7.58977280E-02,6.8149530E-01
7.58980320E-02,6.8318293E-01
7.58983360E-02,6.8288156E-01
7.58986400E-02,6.8583490E-01
7.58989440E-02,6.8613626E-01
7.58992480E-02,6.8300211E-01
7.58995520E-02,6.8348429E-01
7.58998560E-02,6.8408701E-01
7.59001600E-02,6.8420755E-01
7.59004640E-02,6.8318293E-01
7.59007680E-02,6.8197748E-01
7.59010720E-02,6.8324320E-01
7.59013760E-02,6.8384592E-01
7.59016800E-02,6.8324320E-01
7.59019840E-02,6.8354456E-01
7.59022880E-02,6.8493082E-01
7.59025920E-02,6.8577463E-01
7.59028960E-02,6.8227884E-01
7.59032000E-02,6.8468973E-01
7.59035040E-02,6.8426783E-01
7.59038080E-02,6.8251993E-01
7.59041120E-02,6.8360483E-01
7.59044160E-02,6.8384592E-01
7.59047200E-02,6.8233911E-01
7.59050240E-02,6.8251993E-01
7.59053280E-02,6.8414728E-01
7.59056320E-02,6.8402674E-01
7.59059360E-02,6.8282129E-01
7.59062400E-02,6.8300211E-01
7.59065440E-02,6.8282129E-01
7.59068480E-02,6.8107340E-01
7.59071520E-02,6.8251993E-01
7.59074560E-02,6.8517191E-01
7.59077600E-02,6.8481028E-01
7.59080640E-02,6.8450891E-01
7.59083680E-02,6.8444864E-01
7.59086720E-02,6.8342401E-01
7.59089760E-02,6.8336374E-01
7.59092800E-02,6.8523218E-01
7.59095840E-02,6.8390619E-01
7.59098880E-02,6.8161585E-01
7.59101920E-02,6.8282129E-01
7.59104960E-02,6.8475000E-01
7.59108000E-02,6.8505136E-01
7.59111040E-02,6.8414728E-01
7.59114080E-02,6.8324320E-01
7.59117120E-02,6.8354456E-01
7.59120160E-02,6.8330347E-01
7.59123200E-02,6.8264048E-01
7.59126240E-02,6.8306238E-01
7.59129280E-02,6.8221857E-01
7.59132320E-02,6.8360483E-01
7.59135360E-02,6.8306238E-01
7.59138400E-02,6.8450891E-01
7.59141440E-02,6.8342401E-01
7.59144480E-02,6.8233911E-01
7.59147520E-02,6.8378565E-01
7.59150560E-02,6.8541300E-01
7.59153600E-02,6.8499109E-01
7.59156640E-02,6.8348429E-01
7.59159680E-02,6.8306238E-01
7.59162720E-02,6.8306238E-01
7.59165760E-02,6.8595545E-01
7.59168800E-02,6.8342401E-01
7.59171840E-02,6.8420755E-01
7.59174880E-02,6.8487055E-01
7.59177920E-02,6.8197748E-01
7.59180960E-02,6.8390619E-01
7.59184000E-02,6.8366510E-01
7.59187040E-02,6.8535273E-01
7.59190080E-02,6.8384592E-01
7.59193120E-02,6.8294184E-01
7.59196160E-02,6.8245966E-01
7.59199200E-02,6.8336374E-01
7.59202240E-02,6.8161585E-01
7.59205280E-02,6.8071176E-01
7.59208320E-02,6.8384592E-01
7.59211360E-02,6.8342401E-01
7.59214400E-02,6.8191721E-01
7.59217440E-02,6.8354456E-01
7.59220480E-02,6.8312265E-01
7.59223520E-02,6.8673899E-01
7.59226560E-02,6.8589518E-01
7.59229600E-02,6.8462946E-01
7.59232640E-02,6.8499109E-01
7.59235680E-02,6.8450891E-01
7.59238720E-02,6.8577463E-01
7.59241760E-02,6.8685953E-01
7.59244800E-02,6.8456919E-01
7.59247840E-02,6.8625681E-01
7.59250880E-02,6.8511164E-01
7.59253920E-02,6.8649790E-01
7.59256960E-02,6.8209803E-01
7.59260000E-02,6.8450891E-01
7.59263040E-02,6.8233911E-01
7.59266080E-02,6.8276102E-01
7.59269120E-02,6.8456919E-01
7.59272160E-02,6.8547327E-01
7.59275200E-02,6.8438837E-01
7.59278240E-02,6.8396646E-01
7.59281280E-02,6.8282129E-01
7.59284320E-02,6.8583490E-01
7.59287360E-02,6.8384592E-01
7.59290400E-02,6.8541300E-01
7.59293440E-02,6.8547327E-01
7.59296480E-02,6.8456919E-01
7.59299520E-02,6.8414728E-01
7.59302560E-02,6.8414728E-01
7.59305600E-02,6.8306238E-01
7.59308640E-02,6.8203775E-01
7.59311680E-02,6.8426783E-01
7.59314720E-02,6.8565409E-01
7.59317760E-02,6.8432810E-01
7.59320800E-02,6.8348429E-01
7.59323840E-02,6.8119394E-01
7.59326880E-02,6.8137476E-01
7.59329920E-02,6.8348429E-01
7.59332960E-02,6.8336374E-01
7.59336000E-02,6.8511164E-01
7.59339040E-02,6.8396646E-01
7.59342080E-02,6.8553354E-01
7.59345120E-02,6.8607599E-01
7.59348160E-02,6.8432810E-01
7.59351200E-02,6.8444864E-01
7.59354240E-02,6.8511164E-01
7.59357280E-02,6.8661844E-01
7.59360320E-02,6.8704035E-01
7.59363360E-02,6.8589518E-01
7.59366400E-02,6.8559381E-01
7.59369440E-02,6.8698008E-01
7.59372480E-02,6.8824579E-01
7.59375520E-02,6.8716089E-01
7.59378560E-02,6.8511164E-01
7.59381600E-02,6.8499109E-01
7.59384640E-02,6.8487055E-01
7.59387680E-02,6.8444864E-01
7.59390720E-02,6.8481028E-01
7.59393760E-02,6.8601572E-01
7.59396800E-02,6.8631708E-01
7.59399840E-02,6.8589518E-01
7.59402880E-02,6.8239939E-01
7.59405920E-02,6.8547327E-01
7.59408960E-02,6.8420755E-01
7.59412000E-02,6.8493082E-01
7.59415040E-02,6.8408701E-01
7.59418080E-02,6.8408701E-01
7.59421120E-02,6.8402674E-01
7.59424160E-02,6.8366510E-01
7.59427200E-02,6.8330347E-01
7.59430240E-02,6.8505136E-01
7.59433280E-02,6.8535273E-01
7.59436320E-02,6.8493082E-01
7.59439360E-02,6.8475000E-01
7.59442400E-02,6.8589518E-01
7.59445440E-02,6.8462946E-01
7.59448480E-02,6.8613626E-01
7.59451520E-02,6.8462946E-01
7.59454560E-02,6.8673899E-01
7.59457600E-02,6.8511164E-01
7.59460640E-02,6.8547327E-01
7.59463680E-02,6.8698008E-01
7.59466720E-02,6.8583490E-01
7.59469760E-02,6.8722116E-01
7.59472800E-02,6.8764307E-01
7.59475840E-02,6.8734171E-01
7.59478880E-02,6.8625681E-01
7.59481920E-02,6.8468973E-01
7.59484960E-02,6.8547327E-01
7.59488000E-02,6.8481028E-01
7.59491040E-02,6.8679926E-01
