in s,C2 in V
2.4021776E-02,7.6659570E-01
2.4022080E-02,7.6519433E-01
2.4022384E-02,7.6614526E-01
2.4022688E-02,7.6609521E-01
2.4022992E-02,7.6789697E-01
2.4023296E-02,7.6694604E-01
2.4023600E-02,7.6684594E-01
2.4023904E-02,7.6819726E-01
2.4024208E-02,7.6799707E-01
2.4024512E-02,7.6689599E-01
2.4024816E-02,7.6634545E-01
2.4025120E-02,7.6509423E-01
2.4025424E-02,7.6549462E-01
2.4025728E-02,7.6739648E-01
2.4026032E-02,7.6849755E-01
2.4026336E-02,7.6819726E-01
2.4026640E-02,7.6719628E-01
2.4026944E-02,7.6414331E-01
2.4027248E-02,7.6569482E-01
2.4027552E-02,7.6324243E-01
2.4027856E-02,7.6414331E-01
2.4028160E-02,7.6579492E-01
2.4028464E-02,7.6634545E-01
2.4028768E-02,7.6619531E-01
2.4029072E-02,7.6844750E-01
2.4029376E-02,7.6524438E-01
2.4029680E-02,7.6629541E-01
2.4029984E-02,7.6414331E-01
2.4030288E-02,7.6504418E-01
2.4030592E-02,7.6434350E-01
2.4030896E-02,7.6424340E-01
2.4031200E-02,7.6644555E-01
2.4031504E-02,7.6679589E-01
2.4031808E-02,7.6684594E-01
2.4032112E-02,7.6589501E-01
2.4032416E-02,7.6559472E-01
2.4032720E-02,7.6509423E-01
2.4033024E-02,7.6529443E-01
2.4033328E-02,7.6604516E-01
2.4033632E-02,7.6629541E-01
2.4033936E-02,7.6784692E-01
2.4034240E-02,7.6899804E-01
2.4034544E-02,7.6814721E-01
2.4034848E-02,7.6949853E-01
2.4035152E-02,7.6734643E-01
2.4035456E-02,7.6659570E-01
2.4035760E-02,7.6544458E-01
2.4036064E-02,7.6549462E-01
2.4036368E-02,7.6694604E-01
2.4036672E-02,7.6789697E-01
2.4036976E-02,7.6599511E-01
2.4037280E-02,7.6684594E-01
2.4037584E-02,7.6574487E-01
2.4037888E-02,7.6469384E-01
2.4038192E-02,7.6709619E-01
2.4038496E-02,7.6579492E-01
2.4038800E-02,7.6324243E-01
2.4039104E-02,7.6364282E-01
2.4039408E-02,7.6544458E-01
2.4039712E-02,7.6549462E-01
2.4040016E-02,7.6424340E-01
2.4040320E-02,7.6629541E-01
2.4040624E-02,7.6559472E-01
2.4040928E-02,7.6704614E-01
