in s,C2 in V
2.91631635E-01,7.3093414E-01
2.91632096E-01,7.3474884E-01
2.91632557E-01,7.3329926E-01
2.91633018E-01,7.3268890E-01
2.91633478E-01,7.3085785E-01
2.91633939E-01,7.2971344E-01
2.91634400E-01,7.3184967E-01
2.91634861E-01,7.3589325E-01
2.91635322E-01,7.3291779E-01
2.91635782E-01,7.3558807E-01
2.91636243E-01,7.3482513E-01
2.91636704E-01,7.3284149E-01
2.91637165E-01,7.3596954E-01
2.91637626E-01,7.3696136E-01
2.91638086E-01,7.3329926E-01
2.91638547E-01,7.3047638E-01
2.91639008E-01,7.3268890E-01
2.91639469E-01,7.3108673E-01
2.91639930E-01,7.3474884E-01
2.91640390E-01,7.3490143E-01
2.91640851E-01,7.3635101E-01
2.91641312E-01,7.3436737E-01
2.91641773E-01,7.3329926E-01
2.91642234E-01,7.3329926E-01
2.91642694E-01,7.3329926E-01
2.91643155E-01,7.3421478E-01
2.91643616E-01,7.3513031E-01
2.91644077E-01,7.3543549E-01
2.91644538E-01,7.3627472E-01
2.91644998E-01,7.3932648E-01
2.91645459E-01,7.3451996E-01
2.91645920E-01,7.3535919E-01
2.91646381E-01,7.3657990E-01
2.91646842E-01,7.3299408E-01
2.91647302E-01,7.3383331E-01
2.91647763E-01,7.3406219E-01
2.91648224E-01,7.3665619E-01
2.91648685E-01,7.3398590E-01
2.91649146E-01,7.3513031E-01
2.91649606E-01,7.3780060E-01
2.91650067E-01,7.3673248E-01
2.91650528E-01,7.3360443E-01
2.91650989E-01,7.3230743E-01
2.91651450E-01,7.3200226E-01
2.91651910E-01,7.3520660E-01
2.91652371E-01,7.3482513E-01
2.91652832E-01,7.3612213E-01
2.91653293E-01,7.3657990E-01
2.91653754E-01,7.3818207E-01
2.91654214E-01,7.3551178E-01
2.91654675E-01,7.3467255E-01
2.91655136E-01,7.3680878E-01
2.91655597E-01,7.3673248E-01
2.91656058E-01,7.3497772E-01
2.91656518E-01,7.3566437E-01
2.91656979E-01,7.3467255E-01
2.91657440E-01,7.3574066E-01
2.91657901E-01,7.3726654E-01
2.91658362E-01,7.3673248E-01
2.91658822E-01,7.3886871E-01
2.91659283E-01,7.3734283E-01
2.91659744E-01,7.3665619E-01
2.91660205E-01,7.3482513E-01
2.91660666E-01,7.3802948E-01
2.91661126E-01,7.3955536E-01
2.91661587E-01,7.3505402E-01
2.91662048E-01,7.3871613E-01
2.91662509E-01,7.3909760E-01
2.91662970E-01,7.3680878E-01
2.91663430E-01,7.3696136E-01
2.91663891E-01,7.3551178E-01
2.91664352E-01,7.3825836E-01
2.91664813E-01,7.3886871E-01
2.91665274E-01,7.3841095E-01
2.91665734E-01,7.3757172E-01
2.91666195E-01,7.3726654E-01
2.91666656E-01,7.3879242E-01
2.91667117E-01,7.3589325E-01
2.91667578E-01,7.3627472E-01
2.91668038E-01,7.3818207E-01
2.91668499E-01,7.3741913E-01
2.91668960E-01,7.3848724E-01
2.91669421E-01,7.4108124E-01
2.91669882E-01,7.3947906E-01
2.91670342E-01,7.3818207E-01
2.91670803E-01,7.4016571E-01
2.91671264E-01,7.3955536E-01
2.91671725E-01,7.3734283E-01
2.91672186E-01,7.3833466E-01
2.91672646E-01,7.3947906E-01
2.91673107E-01,7.3947906E-01
2.91673568E-01,7.3886871E-01
2.91674029E-01,7.3825836E-01
2.91674490E-01,7.4161530E-01
2.91674950E-01,7.4115753E-01
2.91675411E-01,7.4016571E-01
2.91675872E-01,7.4176788E-01
2.91676333E-01,7.4253082E-01
2.91676794E-01,7.4359894E-01
2.91677254E-01,7.4214935E-01
2.91677715E-01,7.4138641E-01
2.91678176E-01,7.4268341E-01
2.91678637E-01,7.4176788E-01
2.91679098E-01,7.4283600E-01
2.91679558E-01,7.4314117E-01
2.91680019E-01,7.4192047E-01
2.91680480E-01,7.4146271E-01
2.91680941E-01,7.4153900E-01
2.91681402E-01,7.4466705E-01
2.91681862E-01,7.4161530E-01
2.91682323E-01,7.3978424E-01
2.91682784E-01,7.4069977E-01
2.91683245E-01,7.4436188E-01
2.91683706E-01,7.4184418E-01
2.91684166E-01,7.4283600E-01
2.91684627E-01,7.4390411E-01
2.91685088E-01,7.4405670E-01
2.91685549E-01,7.4237823E-01
2.91686010E-01,7.4222565E-01
2.91686470E-01,7.4176788E-01
2.91686931E-01,7.4504852E-01
2.91687392E-01,7.4352264E-01
2.91687853E-01,7.4192047E-01
2.91688314E-01,7.4413300E-01
2.91688774E-01,7.4520111E-01
2.91689235E-01,7.4542999E-01
2.91689696E-01,7.4420929E-01
2.91690157E-01,7.4703217E-01
2.91690618E-01,7.4657440E-01
2.91691078E-01,7.4886322E-01
2.91691539E-01,7.4802399E-01
2.91692000E-01,7.4878693E-01
2.91692461E-01,7.4619293E-01
2.91692922E-01,7.4436188E-01
2.91693382E-01,7.4459076E-01
2.91693843E-01,7.4321747E-01
2.91694304E-01,7.4558258E-01
2.91694765E-01,7.4359894E-01
2.91695226E-01,7.4390411E-01
2.91695686E-01,7.4481964E-01
2.91696147E-01,7.4550629E-01
2.91696608E-01,7.4474335E-01
2.91697069E-01,7.4581146E-01
2.91697530E-01,7.4558258E-01
2.91697990E-01,7.4657440E-01
2.91698451E-01,7.4604034E-01
2.91698912E-01,7.4848175E-01
2.91699373E-01,7.4748993E-01
2.91699834E-01,7.4565887E-01
2.91700294E-01,7.4756622E-01
2.91700755E-01,7.4932098E-01
2.91701216E-01,7.4810028E-01
2.91701677E-01,7.4649811E-01
2.91702138E-01,7.4619293E-01
2.91702598E-01,7.4611664E-01
2.91703059E-01,7.4710846E-01
2.91703520E-01,7.4733734E-01
2.91703981E-01,7.5046539E-01
2.91704442E-01,7.4871063E-01
2.91704902E-01,7.5054169E-01
2.91705363E-01,7.4855804E-01
2.91705824E-01,7.4932098E-01
2.91706285E-01,7.4932098E-01
2.91706746E-01,7.5160980E-01
2.91707206E-01,7.5061798E-01
2.91707667E-01,7.4954987E-01
2.91708128E-01,7.5038910E-01
2.91708589E-01,7.4817657E-01
2.91709050E-01,7.5077057E-01
2.91709510E-01,7.4863434E-01
2.91709971E-01,7.4977875E-01
2.91710432E-01,7.5054169E-01
2.91710893E-01,7.4954987E-01
2.91711354E-01,7.4863434E-01
2.91711814E-01,7.4680328E-01
2.91712275E-01,7.4764252E-01
2.91712736E-01,7.5092316E-01
2.91713197E-01,7.4909210E-01
2.91713658E-01,7.4832916E-01
2.91714118E-01,7.4825287E-01
2.91714579E-01,7.4802399E-01
2.91715040E-01,7.4604034E-01
2.91715501E-01,7.4932098E-01
2.91715962E-01,7.4985504E-01
2.91716422E-01,7.4916840E-01
2.91716883E-01,7.5023651E-01
2.91717344E-01,7.5199127E-01
2.91717805E-01,7.4932098E-01
2.91718266E-01,7.5283051E-01
2.91718726E-01,7.5199127E-01
2.91719187E-01,7.4848175E-01
2.91719648E-01,7.4962616E-01
2.91720109E-01,7.5000763E-01
2.91720570E-01,7.5031281E-01
2.91721030E-01,7.5267792E-01
2.91721491E-01,7.5138092E-01
2.91721952E-01,7.5458527E-01
2.91722413E-01,7.5260162E-01
2.91722874E-01,7.5321198E-01
2.91723334E-01,7.5038910E-01
2.91723795E-01,7.5107574E-01
