in s,C2 in V
2.84400077E-01,2.8487362E+00
2.84400538E-01,2.8469280E+00
2.84400998E-01,2.8480129E+00
2.84401459E-01,2.8476513E+00
2.84401920E-01,2.8469883E+00
2.84402381E-01,2.8486156E+00
2.84402842E-01,2.8483746E+00
2.84403302E-01,2.8484348E+00
2.84403763E-01,2.8475910E+00
2.84404224E-01,2.8498211E+00
2.84404685E-01,2.8498211E+00
2.84405146E-01,2.8515087E+00
2.84405606E-01,2.8503635E+00
2.84406067E-01,2.8503033E+00
2.84406528E-01,2.8519909E+00
2.84406989E-01,2.8495800E+00
2.84407450E-01,2.8506046E+00
2.84407910E-01,2.8500019E+00
2.84408371E-01,2.8505444E+00
2.84408832E-01,2.8530155E+00
2.84409293E-01,2.8494595E+00
2.84409754E-01,2.8514484E+00
2.84410214E-01,2.8534374E+00
2.84410675E-01,2.8506649E+00
2.84411136E-01,2.8536182E+00
2.84411597E-01,2.8521717E+00
2.84412058E-01,2.8520512E+00
2.84412518E-01,2.8534374E+00
2.84412979E-01,2.8546429E+00
2.84413440E-01,2.8568729E+00
2.84413901E-01,2.8560291E+00
2.84414362E-01,2.8541004E+00
2.84414822E-01,2.8560291E+00
2.84415283E-01,2.8560894E+00
2.84415744E-01,2.8570538E+00
2.84416205E-01,2.8563908E+00
2.84416666E-01,2.8555470E+00
2.84417126E-01,2.8551250E+00
2.84417587E-01,2.8560894E+00
2.84418048E-01,2.8559086E+00
2.84418509E-01,2.8554264E+00
2.84418970E-01,2.8549442E+00
2.84419430E-01,2.8583195E+00
2.84419891E-01,2.8569935E+00
2.84420352E-01,2.8553661E+00
2.84420813E-01,2.8547634E+00
2.84421274E-01,2.8562702E+00
2.84421734E-01,2.8575359E+00
2.84422195E-01,2.8562702E+00
2.84422656E-01,2.8575962E+00
2.84423117E-01,2.8583195E+00
2.84423578E-01,2.8573551E+00
2.84424038E-01,2.8606701E+00
2.84424499E-01,2.8621166E+00
2.84424960E-01,2.8600674E+00
2.84425421E-01,2.8611523E+00
2.84425882E-01,2.8607304E+00
2.84426342E-01,2.8587414E+00
2.84426803E-01,2.8578373E+00
2.84427264E-01,2.8597057E+00
2.84427725E-01,2.8602482E+00
2.84428186E-01,2.8610920E+00
2.84428646E-01,2.8616947E+00
2.84429107E-01,2.8603687E+00
2.84429568E-01,2.8597660E+00
2.84430029E-01,2.8592838E+00
2.84430490E-01,2.8625385E+00
2.84430950E-01,2.8619358E+00
2.84431411E-01,2.8612728E+00
2.84431872E-01,2.8617550E+00
2.84432333E-01,2.8630207E+00
2.84432794E-01,2.8612728E+00
2.84433254E-01,2.8630207E+00
2.84433715E-01,2.8603085E+00
2.84434176E-01,2.8625988E+00
2.84434637E-01,2.8631413E+00
2.84435098E-01,2.8640453E+00
2.84435558E-01,2.8643467E+00
2.84436019E-01,2.8625385E+00
2.84436480E-01,2.8632015E+00
2.84436941E-01,2.8651302E+00
2.84437402E-01,2.8659740E+00
2.84437862E-01,2.8648891E+00
2.84438323E-01,2.8644672E+00
2.84438784E-01,2.8646481E+00
2.84439245E-01,2.8663960E+00
2.84439706E-01,2.8659138E+00
2.84440166E-01,2.8665768E+00
2.84440627E-01,2.8673000E+00
2.84441088E-01,2.8689274E+00
2.84441549E-01,2.8685658E+00
2.84442010E-01,2.8685658E+00
2.84442470E-01,2.8675411E+00
2.84442931E-01,2.8656124E+00
2.84443392E-01,2.8667576E+00
2.84443853E-01,2.8647686E+00
2.84444314E-01,2.8697109E+00
2.84444774E-01,2.8693493E+00
2.84445235E-01,2.8695301E+00
2.84445696E-01,2.8679630E+00
2.84446157E-01,2.8689274E+00
2.84446618E-01,2.8698917E+00
2.84447078E-01,2.8690479E+00
2.84447539E-01,2.8687466E+00
2.84448000E-01,2.8695301E+00
2.84448461E-01,2.8690479E+00
2.84448922E-01,2.8722424E+00
2.84449382E-01,2.8707958E+00
2.84449843E-01,2.8721821E+00
2.84450304E-01,2.8719410E+00
2.84450765E-01,2.8713985E+00
2.84451226E-01,2.8709766E+00
2.84451686E-01,2.8727245E+00
2.84452147E-01,2.8709766E+00
2.84452608E-01,2.8730259E+00
2.84453069E-01,2.8718204E+00
2.84453530E-01,2.8715794E+00
2.84453990E-01,2.8709766E+00
2.84454451E-01,2.8734478E+00
2.84454912E-01,2.8714588E+00
2.84455373E-01,2.8727848E+00
2.84455834E-01,2.8720615E+00
2.84456294E-01,2.8742916E+00
2.84456755E-01,2.8739902E+00
2.84457216E-01,2.8771847E+00
2.84457677E-01,2.8755573E+00
2.84458138E-01,2.8752560E+00
2.84458598E-01,2.8755573E+00
2.84459059E-01,2.8745327E+00
2.84459520E-01,2.8756176E+00
2.84459981E-01,2.8753765E+00
2.84460442E-01,2.8767025E+00
2.84460902E-01,2.8748943E+00
2.84461363E-01,2.8762203E+00
2.84461824E-01,2.8774258E+00
2.84462285E-01,2.8768230E+00
2.84462746E-01,2.8772449E+00
2.84463206E-01,2.8785107E+00
2.84463667E-01,2.8806805E+00
2.84464128E-01,2.8788120E+00
2.84464589E-01,2.8782093E+00
2.84465050E-01,2.8796558E+00
2.84465510E-01,2.8777271E+00
2.84465971E-01,2.8768833E+00
2.84466432E-01,2.8778477E+00
2.84466893E-01,2.8791737E+00
2.84467354E-01,2.8798969E+00
2.84467814E-01,2.8786915E+00
2.84468275E-01,2.8778477E+00
2.84468736E-01,2.8792339E+00
2.84469197E-01,2.8797161E+00
2.84469658E-01,2.8788120E+00
2.84470118E-01,2.8797161E+00
2.84470579E-01,2.8820065E+00
2.84471040E-01,2.8813435E+00
2.84471501E-01,2.8818256E+00
2.84471962E-01,2.8797764E+00
2.84472422E-01,2.8823078E+00
2.84472883E-01,2.8825489E+00
2.84473344E-01,2.8837543E+00
2.84473805E-01,2.8823078E+00
2.84474266E-01,2.8822475E+00
2.84474726E-01,2.8825489E+00
2.84475187E-01,2.8829105E+00
2.84475648E-01,2.8826694E+00
2.84476109E-01,2.8855625E+00
2.84476570E-01,2.8823681E+00
2.84477030E-01,2.8813435E+00
2.84477491E-01,2.8823078E+00
2.84477952E-01,2.8836338E+00
2.84478413E-01,2.8829105E+00
2.84478874E-01,2.8831516E+00
2.84479334E-01,2.8855022E+00
2.84479795E-01,2.8840557E+00
2.84480256E-01,2.8843571E+00
2.84480717E-01,2.8843571E+00
2.84481178E-01,2.8844776E+00
2.84481638E-01,2.8847790E+00
2.84482099E-01,2.8845379E+00
2.84482560E-01,2.8836338E+00
2.84483021E-01,2.8840557E+00
2.84483482E-01,2.8858036E+00
2.84483942E-01,2.8848995E+00
2.84484403E-01,2.8855625E+00
2.84484864E-01,2.8860447E+00
2.84485325E-01,2.8885761E+00
2.84485786E-01,2.8892391E+00
2.84486246E-01,2.8865871E+00
2.84486707E-01,2.8876720E+00
2.84487168E-01,2.8861652E+00
2.84487629E-01,2.8867680E+00
2.84488090E-01,2.8882748E+00
2.84488550E-01,2.8894802E+00
2.84489011E-01,2.8889980E+00
2.84489472E-01,2.8896610E+00
2.84489933E-01,2.8889980E+00
2.84490394E-01,2.8885159E+00
2.84490854E-01,2.8896008E+00
2.84491315E-01,2.8876118E+00
2.84491776E-01,2.8897816E+00
2.84492237E-01,2.8876720E+00
2.84492698E-01,2.8879734E+00
2.84493158E-01,2.8885159E+00
2.84493619E-01,2.8899624E+00
2.84494080E-01,2.8922527E+00
2.84494541E-01,2.8939404E+00
2.84495002E-01,2.8939404E+00
2.84495462E-01,2.8909267E+00
2.84495923E-01,2.8908062E+00
2.84496384E-01,2.8925541E+00
2.84496845E-01,2.8925541E+00
2.84497306E-01,2.8925541E+00
